Rank,country,Capital,Continent,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
112,El Salvador,San Salvador,North America,2182409,2448633,2779327,3179506,3619090,4076751,4508992,4876757,5367179,5748195,5958482
152,Equatorial Guinea,Malabo,Africa,226381,245800,267351,295010,316955,283262,282509,378379,465549,560740,684977
132,Eritrea,Asmara,Africa,822576,895009,993568,1121739,1272748,1450867,1657982,1899243,2149960,2157220,2392880
156,Estonia,Tallinn,Europe,1102078,1168276,1218064,1292004,1361999,1424044,1476983,1525782,1570674,1452775,1396877
159,Eswatini,Mbabane,Africa,271642,307078,345065,388317,442865,509535,598564,702400,854011,953573,1030496
12,Ethiopia,Addis Ababa,Africa,17709951,19703738,21739710,24727506,28308246,32252783,34945469,40285965,47878073,57476536,67031867
231,Falkland Islands,Stanley,South America,2191,2187,2265,2308,2274,2280,2240,2232,2332,2735,3080
209,Faroe Islands,Tórshavn,Europe,31655,32127,34154,36346,38416,40626,43054,45575,47479,43805,45660
162,Fiji,Suva,Oceania,308308,343693,401841,469010,527634,575804,644582,727461,780430,792246,832509
118,Finland,Helsinki,Europe,4008289,4235413,4430173,4564583,4606621,4711368,4779418,4902175,4986545,5107943,5176209
23,France,Paris,Europe,41842355,43593851,45659575,48168804,50523586,52450030,53713830,55108106,56412897,57420354,58665453
184,French Guiana,Cayenne,South America,23398,25456,31125,38946,46484,54347,66825,86931,113931,137183,164351
183,French Polynesia,Papeete,Oceania,64535,74475,84851,98674,117891,139833,163591,187578,211089,231446,250927
146,Gabon,Libreville,Africa,472905,489459,513340,547535,597192,663340,749078,856482,983028,1121964,1272935
142,Gambia,Banjul,Africa,306781,349374,399649,458908,528731,612909,718586,855958,1040616,1242155,1437539
131,Georgia,Tbilisi,Asia,3517264,3738231,4051492,4418592,4800426,4970320,5145843,5338867,5391636,4877676,4265172
19,Germany,Berlin,Europe,70964095,71222628,73063695,76037469,78294583,78513511,77786703,77638808,79370196,81123262,81551677
47,Ghana,Accra,Africa,5077596,5887163,6911510,7827726,8861895,10209848,11865246,13651443,15446982,17438874,19665502
219,Gibraltar,Gibraltar,Europe,21402,21541,21822,23910,26685,27973,28734,28674,27317,27412,27741
90,Greece,Athens,Europe,7669099,8146022,8495415,8526254,8544873,8805415,9307148,9840141,10302255,10727927,11038109
208,Greenland,Nuuk,North America,23119,26295,32124,38539,45434,49151,50106,53220,55599,55788,56184
193,Grenada,Saint George's,North America,77020,82656,93772,98226,98794,97165,94838,100576,99047,104060,107432
178,Guadeloupe,Basse-Terre,North America,215261,242576,276976,303438,318310,324878,334234,357844,391951,413935,424067
191,Guam,Hagåtña,Oceania,60991,65977,72374,80255,88300,99478,110286,124675,138263,150094,160188
68,Guatemala,Guatemala City,North America,3099869,3560239,4098352,4744461,5453208,6201734,6987767,7932185,9084780,10363090,11735894
75,Guinea,Conakry,Africa,2983557,3234056,3516814,3845074,4222374,4588006,4972609,5531661,6354145,7468347,8336967
149,Guinea-Bissau,Bissau,Africa,543413,563713,577933,577638,591663,659635,831462,900088,973551,1117222,1230849
164,Guyana,Georgetown,South America,417719,483316,571990,650207,705261,745590,778176,772671,747116,751689,759051
82,Haiti,Port-au-Prince,North America,3247231,3545999,3901139,4274348,4680812,5124560,5646676,6245539,6925331,7627316,8360225
89,Honduras,Tegucigalpa,North America,1557932,1796527,2078617,2403465,2782753,3231631,3777990,4387693,5053234,5812832,6656725
104,Hong Kong,Hong Kong,Asia,1980524,2490487,3114671,3602029,3955072,4451220,4978544,5411680,5838574,6243859,6731195
94,Hungary,Budapest,Europe,9337714,9823331,9982610,10140853,10315366,10520237,10698679,10542754,10375989,10327169,10202055
179,Iceland,Reykjavík,Europe,142650,157735,175566,192309,204468,218070,228263,241577,255019,267681,281462
2,India,New Delhi,Asia,357021100,398577992,445954579,500114346,557501301,623524219,696828385,780242084,870452165,964279129,1059633675
4,Indonesia,Jakarta,Asia,69567619,77741502,88382881,101157868,115228394,131213215,148177096,165791694,182159874,198140162,214072421
17,Iran,Tehran,Asia,16832834,18873864,21388806,24667026,28449705,32856976,38520664,47266160,55793629,60794809,65544383
35,Iraq,Baghdad,Asia,5656471,6405686,7084678,8270544,9811347,11617622,13653369,15753856,17658381,20948858,24628858
125,Ireland,Dublin,Europe,2906599,2886368,2811067,2852401,2937637,3157919,3391387,3505769,3485374,3579482,3768950
202,Isle of Man,Douglas,Europe,54813,52283,48793,50057,55298,59949,64022,64376,68865,71454,75562
98,Israel,Jerusalem,Asia,1284157,1564960,1902247,2361088,2907307,3388086,3744608,4182681,4803254,5478734,6116958
25,Italy,Rome,Europe,46391938,48130728,49517707,51452854,53324036,55093989,56329482,56636465,56756561,56885126,56966397
139,Jamaica,Kingston,North America,1407470,1552883,1642331,1746977,1859091,2003094,2135546,2292030,2392030,2509372,2612205
11,Japan,Tokyo,Asia,84353049,90090281,94464839,99468746,105416839,112411640,117624196,121119031,123686321,125433969,126803861
83,Jordan,Amman,Asia,438386,622010,847936,1093474,1557374,1886636,2216903,2751492,3480587,4458195,5056174
66,Kazakhstan,Nursultan,Asia,6655675,7858733,9319283,10897644,12265305,13158942,14172710,15413315,16866563,16434324,15236253
27,Kenya,Nairobi,Africa,5774050,6558870,7751435,9417207,11473087,13651908,16187124,19452161,23162269,26878347,30851606
